"pais","cod_pais","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Fiji","FJI",80.0752729561132,80.4069017546421,67.4409891345073,60.9539143841894,53.6642291444795,78.3115416491558,88.1909687982585,86.9222334828732,120.538849956186,103.601756755069
"France","FRA",0,0,0,0,0,0,0,0,0,0
"Faroe Islands","FRO",0,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.","FSM",810.415200562984,1002.27876231191,1027.34670704012,1093.92843547773,901.102687801516,1162.74372120314,612.049913625879,1289.67103482933,1383.94064685652,1380.76322335564
"Gabon","GAB",29.7137564896803,36.5080851255319,22.1517190472135,36.9282574387432,43.5083233756814,51.7105957962835,68.9198514075811,44.0309947771442,42.6715025636989,52.843304242552
"United Kingdom","GBR",0,0,0,0,0,0,0,0,0,0
"Georgia","GEO",74.0188457008245,70.0095465393795,86.3612185686654,93.2631063204312,220.58064516129,227.790346907994,159.740193581253,151.592258064516,172.337254901961,171.162605932203
"Ghana","GHA",68.0890802343304,53.8880874058195,56.316332838934,51.6209998019801,56.7647775543771,66.8274381267721,69.7935095432823,72.3613447626598,70.4372926295672,50.7792410704731
"Gibraltar","GIB",0,0,0,0,0,0,0,0,0,0
"Guinea","GIN",29.0350395165398,19.9513435845586,17.4898702312649,22.422017152193,31.8738518182366,20.3121194277219,20.0655515243445,17.859997449708,52.235116586307,39.1288577543748
"Gambia, The","GMB",43.9799329904705,42.1785688997613,50.5467722323458,63.2637865589186,59.5872441072911,76.3744440627519,71.5297442058545,77.5942356607602,76.9074122852646,61.9644133146355
"Guinea-Bissau","GNB",54.3715114232555,45.639000700035,59.012326350208,80.8135964309238,86.5948928228078,92.9089597402858,78.4055278558998,72.3091420482352,46.4592737749472,60.1148003173342
"Equatorial Guinea","GNQ",48.086360794522,60.9235842816194,40.5904744795716,47.1013730891351,46.7486516773702,44.9406424334128,116.740541504851,32.6933167136758,18.6757895852424,5.80868718651281
"Greece","GRC",0,0,0,0,0,0,0,0,0,0
"Grenada","GRD",151.962360092346,510.922671950734,259.638385031813,222.518269667043,318.471337579618,439.413986845385,323.280185714149,114.495098505758,72.6231559786113,118.316934524372
"Greenland","GRL",0,0,0,0,0,0,0,0,0,0
"Guatemala","GTM",16.8329604539192,19.2831875893399,35.9754280954372,32.6679315699821,37.9387449370643,26.1415686869353,26.4202487316781,25.1447245316719,19.8382966380044,31.6491333484547
"Guam","GUM",0,0,0,0,0,0,0,0,0,0
"Guyana","GUY",195.563771791064,201.752200351518,234.488137097371,166.461473261824,217.873107194799,232.034941105483,222.243755326125,209.741454696031,151.527537875292,133.029710932377
"High income","HIC",0.408112045897801,0.383704792125175,0.411853730805221,0.439628824984287,0.498367759960457,0.458742154504804,0.472014519188438,0.228564550165772,0.191595206802081,0.160553390244153
"Hong Kong SAR, China","HKG",0,0,0,0,0,0,0,0,0,0
"Honduras","HND",97.0969675503365,100.558401007183,84.8134066520918,65.3724688757099,78.0139596967823,61.3062429890542,84.5123352934317,81.0702580912151,73.1877472085206,79.7382208491489
"Heavily indebted poor countries (HIPC)","HPC",49.1637440038461,49.5718017856061,54.5100423702137,59.4453518744955,63.5458860486031,68.492955883028,71.4251010245214,69.7997030389463,63.5378187941113,59.4720141429842
"Croatia","HRV",26.9565217391304,27.7937865826204,44.259009009009,36.724526600541,54.3600327251636,38.1185429563444,29.7773927679982,0,0,0
"Haiti","HTI",32.7660967836808,45.9668789319353,61.7972578503018,73.4177130421626,93.9832851285866,113.876520064594,303.769634376997,166.759817011323,123.760451627727,110.449860798069
"Hungary","HUN",0,0,0,0,0,0,0,0,0,0
"IBRD only","IBD",5.07862631643743,9.92624606572953,6.59985915306117,6.58244467709442,7.80880829974645,5.73259586395103,5.16648094468642,5.98863184261942,5.36715591913411,6.26432210756325
"IDA & IBRD total","IBT",10.7123485996938,15.7821719618434,14.7625002052932,13.9517496585314,15.451459236825,15.1004063675397,15.1238992396589,16.0595709497293,15.4045309068948,16.8970544098975
"IDA total","IDA",28.2275798354067,33.7775206285132,39.5518535068983,36.063935021871,38.1086121023543,42.5414450580806,43.9375566235424,44.8512107591412,43.7659172653891,46.5901293119003
"IDA blend","IDB",15.889987987047,31.7883754281583,42.2715275288079,23.9282064399276,19.7447422141503,25.0824055431887,26.7629366094012,26.0552413880947,24.2860625507367,24.7797967973794
"Indonesia","IDN",0.605772582285931,11.2119658348052,5.7508379641669,3.835652858457,5.21467543666422,4.37996887302177,5.75258481610805,1.6422648886667,0.278223662901968,0.277074372890591
"IDA only","IDX",35.1792238444065,34.8930220918312,38.0334020692784,42.8124593695326,48.2841075152754,52.1852289387307,53.4035648271699,55.1917268470817,54.4592648580633,58.5382128568555
"Isle of Man","IMN",0,0,0,0,0,0,0,0,0,0
"India","IND",0.690959383854532,1.63935759536026,1.19059798988339,1.13343755731479,1.77928592818952,2.03767608904015,2.30002895308583,2.62154832446693,1.33100964750788,1.92058004108881
"Not classified","INX",0,0,0,0,0,0,0,0,0,0
"Ireland","IRL",0,0,0,0,0,0,0,0,0,0
"Iran, Islamic Rep.","IRN",2.72136014402249,1.43563838597852,1.65305653876356,1.44685941366095,1.38520667381463,1.26167045167802,1.51427464446632,1.40707526763359,1.99312013115017,1.70584354131616
"Iraq","IRQ",176.6928705463,816.393704988787,320.717446051037,323.828089240685,338.936980681251,93.1321639709057,70.5688412356086,60.082356593771,39.4712943791879,45.1966885979996
"Iceland","ISL",0,0,0,0,0,0,0,0,0,0
"Israel","ISR",0,0,0,0,0,0,0,0,0,0
"Italy","ITA",0,0,0,0,0,0,0,0,0,0
"Jamaica","JAM",31.0842630897555,14.8512559151092,13.8178613413469,10.3822885847329,31.6043901692241,54.942619272231,50.8453615919435,14.3113650186495,10.1557565875789,25.8148033960584
"Jordan","JOR",116.912781707441,133.105643334255,103.715622060469,109.648117589537,122.144047414033,118.148388388772,146.482493166523,144.088246044485,165.486898113948,194.090451447795
"Japan","JPN",0,0,0,0,0,0,0,0,0,0
"Kazakhstan","KAZ",18.1975802946583,14.8735438481038,11.6134716794081,13.6991326379833,21.5707541150951,18.3493125237336,12.9766840602023,12.1293019098124,7.85281773286067,5.3277684099611
"Kenya","KEN",19.0469912705525,21.4028443205247,25.9507691875231,35.5286124711212,35.649624591202,45.390133554408,40.4497455670908,59.8460345948236,62.3759812959027,75.710503045107
"Kyrgyz Republic","KGZ",51.1548181088017,51.8111029326309,59.6063927640656,52.2511578467846,67.1743095117228,58.4325599539316,70.4711907340443,94.8989953940449,83.9081894706806,94.3160360864396
"Cambodia","KHM",37.0467988384067,40.4330071235426,39.2891575529228,49.2326294550831,53.4123841115687,50.9836551547096,51.1000525913236,54.3016942460268,54.4549699287128,53.5999316645803
"Kiribati","KIR",187.531061902921,304.563030033901,271.067400829647,284.39414391029,278.96014709916,251.476642205119,228.060946146053,620.091341652176,615.925717501407,598.743366745283
"St. Kitts and Nevis","KNA",-1.65207335205683,53.1146339974358,105.182865630896,68.166055682156,917.151077447008,62.0685654620338,219.284841075795,297.181025699083,405.219012115564,553.396806688643
"Korea, Rep.","KOR",0,0,0,0,0,0,0,0,0,0
"Kuwait","KWT",0,0,0,0,0,0,0,0,0,0
"Latin America & Caribbean (excluding high income)","LAC",12.5512629371177,11.8065390658072,12.8092976319428,11.9945472637071,16.0657729944944,15.4362297483099,18.4212353331101,19.4020781669014,16.8423642903796,17.2243635715879
"Lao PDR","LAO",47.7178049279594,51.77012685091,62.5415643560524,66.9132138444894,82.1429179915636,67.8172637670476,66.0357949724497,62.7918508023281,63.4121472876001,64.3360129240416
"Lebanon","LBN",69.0269981060091,57.870030713355,201.881124691616,239.624949760441,259.980254972211,138.717309676207,102.622548047615,103.554284275664,144.505049188131,117.571623929684
"Liberia","LBR",67.0059406972775,67.9218762328788,77.0797954623074,199.305177216149,340.453095228631,133.651777392007,357.365733617316,186.845489259418,135.247980086656,124.817988807767
"Libya","LBY",0,4.10925162495564,6.34993293719187,3.22543443660584,12.1181991506808,6.44903586591675,1.21454963430246,101.945536181681,13.8650982596532,20.5602086311382
"St. Lucia","LCA",-132.56903745213,64.5680049816513,111.180035310397,114.254816451753,110.519947432105,222.550743167652,231.965591300868,196.845123216457,148.156338106031,139.107539562821
"Latin America & Caribbean","LCN",12.4261864940488,11.8824031505569,12.7777554392898,12.0960792287655,16.0132082351486,15.3027387563677,18.3961804948077,19.1384802487814,16.7548854310093,16.8354430279637
"Least developed countries: UN classification","LDC",34.7768826981524,34.4219840286359,37.4414844040346,42.9791053436303,48.3442601957481,48.5997930650176,52.2966025593006,52.1202457056546,48.4717209420735,52.6540043105326
"Low income","LIC",40.6486461369698,39.9368825341308,43.8736729755284,52.0664596306737,56.9322932773301,59.8891349357366,65.6100718431937,65.8990705774642,59.7843150674727,58.5150597535153
"Liechtenstein","LIE",0,0,0,0,0,0,0,0,0,0
"Sri Lanka","LKA",26.5264198044518,60.1300779435297,40.3734631147541,30.9111246695139,36.4247867992128,35.2664262820513,28.8095829812615,30.2629372009274,24.033782129743,19.5856205975225
"Lower middle income","LMC",9.54632708941033,13.8517536768113,15.8853416861003,12.4400408634035,13.7507017367024,15.3206152038562,14.8171546853429,15.0132326938498,15.3213065261409,19.1265485089799
"Low & middle income","LMY",14.8749110580177,19.9767895629128,19.4502037638868,19.2965972484706,22.5410568561257,22.1520268546575,22.5988535609232,24.2036025696947,22.5298213954302,25.1569334981745
"Lesotho","LSO",49.8472313892686,35.5376655637736,36.6893516359204,66.1108088539089,73.3751344948823,61.4344862096459,127.350931519467,126.304139304951,134.280774459725,153.941723262065
"Late-demographic dividend","LTE",5.0176734915253,5.05934325059391,5.57175328770301,5.75198007533692,6.43796799492115,6.64959410207272,5.54124124954203,6.36444677363935,6.6836873209801,6.05924746158438
"Lithuania","LTU",0,0,0,0,0,0,0,0,0,0
"Luxembourg","LUX",0,0,0,0,0,0,0,0,0,0
"Latvia","LVA",0,0,0,0,0,0,0,0,0,0
"Macao SAR, China","MAC",0,0,0,0,0,0,0,0,0,0
"St. Martin (French part)","MAF",0,0,0,0,0,0,0,0,0,0
"Morocco","MAR",25.9394933238703,24.1115172151803,35.8904702856178,39.3159633762147,46.3586851953829,32.9797062950548,30.6935346646489,44.2715355273355,44.6013681099945,60.0445058432677
"Monaco","MCO",0,0,0,0,0,0,0,0,0,0
"Moldova","MDA",33.2690981688122,47.2047768308018,62.7076413118454,75.0116720856829,84.0954951502868,68.9280133183606,132.791696904447,129.688712258981,133.58265540934,97.9860988948919
"Madagascar","MDG",70.5114069872001,50.0891342198533,41.6660270414592,46.2974841142942,42.5156113892458,21.1966350415058,22.6361761731712,20.6251553644386,16.5288700136182,21.7792649166568
"Maldives","MDV",89.9038461538462,238.535825545171,114.924924924925,109.140401146132,150.635359116022,92.3333333333333,304.25068119891,144.005305039788,147.350649350649,55.2162849872774
"Middle East & North Africa","MEA",31.7866275257988,81.5233658937637,48.5353542832576,49.7765083901767,65.5861484931104,36.2350668999577,31.837716481715,39.6509578227152,34.0407136955325,63.2544639198699
"Mexico","MEX",1.30226155852276,1.839761753632,2.25178278556816,1.05480519982371,1.28560818734716,1.61981773463636,3.89723132182253,8.08513944192424,3.34174475218976,4.544928920339
"Marshall Islands","MHL",984.752467642202,1090.51442621691,1058.1797235023,1001.03575264692,1005.15118438942,1126.69864872613,622.377355611505,1566.77642222265,1592.19945692422,1775.84965710605
"Middle income","MIC",8.30875027791273,13.8593459617877,12.3688900648008,10.6526462356314,11.9647474133541,11.2272489630522,10.5457426626621,11.5169403529421,11.2141287789729,13.0754854978795
"Macedonia, FYR","MKD",129.510548241698,111.312677016037,98.103383431103,98.3851728577229,99.9432676840857,94.3310084898879,94.2135128098086,93.0786180083335,71.3826615183132,94.9220353932343
"Mali","MLI",46.9183734931791,56.250943221629,65.3045670672344,74.2062089829762,68.0139626220251,67.0084483616902,71.9614570464353,81.0550980666105,61.7899344557986,84.2304622495879
"Malta","MLT",0,0,0,0,0,0,0,0,0,0
"Myanmar","MMR",2.48977714044144,2.89748639903919,2.89362292651741,3.86379847070979,10.4759932812863,6.92937328358289,6.86060949127398,7.28915115892324,9.60207686377553,74.289081674335
"Middle East & North Africa (excluding high income)","MNA",35.5956913956081,92.9303776558816,55.3363968829304,56.952167160405,75.4320606019765,41.5078976776053,37.0318300906264,46.1460839167193,39.6896102258025,73.8533350804932
"Montenegro","MNE",32.8195998063106,6.28397375057183,155.424576236738,171.544550436371,169.327794427273,123.711373553682,129.280562066939,204.215914423807,166.113170942361,188.632774582386
"Mongolia","MNG",102.726845604519,87.4825397089272,80.418716708801,88.4071743953199,94.2705271315825,138.78254641568,111.694917566062,127.256463581622,158.748641100665,150.574956263592
"Northern Mariana Islands","MNP",0,0,0,0,0,0,0,0,0,0
"Mozambique","MOZ",60.628580619582,61.0536177106138,75.5336541867507,79.2924321624721,86.6749957718825,85.1495159277929,79.8940622677334,82.5629181145034,80.5077447852028,87.3799173164652
"Mauritania","MRT",63.5489392413803,59.8588434624663,66.7291429784173,104.813740409851,133.191704211856,107.363745731993,104.029069443671,103.637549851068,108.49423640089,76.1409916223477
"Mauritius","MUS",26.8631608603746,28.0072362882596,15.5024813694696,55.8311754313787,87.3628851213025,125.081267150275,99.6401151631478,148.266853187949,140.682006749042,115.790452173872
"Malawi","MWI",40.895843182793,44.999759175001,55.1288045811352,55.114033338971,66.5481405493161,54.0286813032205,68.86744215774,52.371431894514,74.5259558396977,69.9605426171482
"Malaysia","MYS",11.8123201042033,1.1327283122069,9.19009857500165,7.56249194041871,5.74870725784678,5.05838234364268,-0.218353811412009,1.42827294467463,0.631246567252224,-3.83976146644271
"North America","NAC",0,0,0,0,0,0,0,0,0,0
"Namibia","NAM",87.5448447006484,55.9341616733086,72.7050535197416,106.016108111948,97.1261089103716,153.845296110264,119.130596911166,124.191966559546,110.156677844954,111.242175887415
"New Caledonia","NCL",0,0,0,0,0,0,0,0,0,0
"Niger","NER",42.2191053686315,38.7892538290939,38.7223634974881,37.5814886818092,40.7984551674397,30.0296180611343,45.5057976342976,38.0415171641789,50.5302231565348,43.4286153777606
"Nigeria","NGA",4.25461935168075,45.8543818619041,79.7663874919392,13.3100013481252,8.56112333489569,10.5600808519479,12.8735350250716,10.7936910241235,11.3780041290082,14.5574048341687
"Nicaragua","NIC",233.805920971474,142.121867661141,135.761566924766,151.633820278049,132.004081133623,136.67819916546,115.096200199313,119.066005692013,90.5133439758899,83.388752038046
"Netherlands","NLD",0,0,0,0,0,0,0,0,0,0
"Norway","NOR",0,0,0,0,0,0,0,0,0,0
"Nepal","NPL",16.9036353094456,16.5888790566706,20.4568102216517,23.1897957071886,26.4773088187079,32.1047163906018,30.3022297663595,32.6215927253587,27.9878395004603,31.3752684077636
"Nauru","NRU",1359.63611193513,913.494809688581,1734.48173448173,2541.93548387097,3109.38588633423,2344.43558037495,2771.072319202,3731.72914387988,3465.31763790252,2656.87089917753
"New Zealand","NZL",0,0,0,0,0,0,0,0,0,0
"OECD members","OED",0.406664744231154,0.643470086905628,0.761051942019804,0.841157772917753,1.11839185744002,1.31517546119178,1.36738343159378,3.54285376918305,2.89988900936295,2.75662184961958
"Oman","OMN",40.9853140723325,7.59506496293616,21.175886355946,82.498313253012,28.1455848758107,52.312158295599,-7.34098412669295,0,0,0
"Other small states","OSS",53.6837106672838,52.0169264626505,56.3916692452077,73.6551447574376,103.478335406178,88.8039064236986,99.1832158557841,92.6024692207087,86.9572447126337,85.4499213071929
"Pakistan","PAK",9.54388229684767,10.5423065435757,13.9197015740487,14.2197102302398,9.48478600018265,16.5888403385176,17.7642342962246,20.1419190991854,11.3725936575855,12.1112531244784
"Panama","PAN",6.88827952797804,6.09465667620984,9.67264547445687,-38.8814791074215,8.50035113252745,17.4186611736076,35.1221624822608,29.9214091117847,13.716153354875,2.42006493972304
"Peru","PER",17.2103092605089,16.503560288103,16.4465363418435,11.1183889819476,16.360911063343,15.0940140708968,-10.0876145976304,20.0877751870798,12.7843418537521,11.9026505113075
"Philippines","PHL",5.32115791564234,6.59044522078839,6.50737681373007,6.84849683542525,0.57742708612562,3.3597084285077,5.81842636105056,-1.94420743695482,-0.0350978337012982,1.96839910795424
"Palau","PLW",998.737692501893,1189.02898477922,1868.37897261643,1113.92782582762,2122.90502793296,1750.88478175383,1404.49438202247,1357.85693487334,744.844864135672,1693.19757158564
"Papua New Guinea","PNG",45.2824623639405,43.8235852210606,44.888214827142,50.957577882949,46.1968907385585,59.9823807078761,74.8300442335521,87.5253457563962,93.6802485579752,90.04408893092
"Poland","POL",0,0,0,0,0,0,0,0,0,0
"Pre-demographic dividend","PRE",42.6708365979952,79.3442931845913,69.2964885437705,59.7173569056786,60.9964206894882,54.4861699513852,54.2289228817725,55.0141778840851,52.1854575044226,50.4295564936181
"Puerto Rico","PRI",0,0,0,0,0,0,0,0,0,0
"Korea, Dem. People’s Rep.","PRK",6.80434814979262,3.67231386932794,2.30205411395802,4.12990324919869,8.50649458053841,2.67604296538385,3.21748456950236,4.81053440859678,3.95221115654249,4.38228200406456
"Portugal","PRT",0,0,0,0,0,0,0,0,0,0
"Paraguay","PRY",3.91146724378487,8.83790214223363,9.53288036286141,18.105448060394,22.2948700797122,24.264639766626,19.4866983677777,14.7892445266846,16.3924352446293,20.2160054899191
"West Bank and Gaza","PSE",358.657441422024,305.900260089459,399.329601853488,491.375580341199,686.765157278029,763.777281618749,659.273879313647,619.991948156517,495.715116332226,624.133890201861
